symbol,begins_at,close_price,high_price,interpolated,low_price,open_price,session,volume,TP,20sma,MD,CCI
CVS,2017-09-25,79.128000,79.371100,False,77.435900,77.620700,reg,5065293,78.645,77.82488,1.1048363333333402,49.4866660491794
CVS,2017-09-26,79.400200,79.633600,False,78.914000,79.186300,reg,2785758,79.31593333333332,78.12585,1.1048363333333402,71.8105356379067
CVS,2017-09-27,79.225200,79.740600,False,78.573700,79.468300,reg,3308404,79.17983333333333,78.38744,1.1048363333333402,47.81361784405061
CVS,2017-09-28,79.021000,79.234900,False,78.505700,79.021000,reg,3442232,78.92053333333332,78.62471500000001,1.1048363333333402,17.849903761511193
CVS,2017-09-29,79.079300,79.429400,False,78.583400,79.147400,reg,4118095,79.03070000000001,78.81823,1.1048363333333402,12.820601784457914
CVS,2017-10-02,78.544500,79.361300,False,78.379200,79.108500,reg,4688498,78.76166666666667,78.956805,1.1048363333333402,-11.77479580434576
CVS,2017-10-03,78.680600,79.069600,False,78.301400,78.301400,reg,6732607,78.68386666666667,79.064745,1.1048363333333402,-22.982489010186775
CVS,2017-10-04,77.863800,78.729300,False,77.727600,78.670900,reg,4356765,78.1069,79.07398500000001,1.1048363333333402,-58.354646193448595
CVS,2017-10-05,78.670900,78.714700,False,77.844300,77.893000,reg,6090779,78.40996666666668,79.09781000000001,1.1048363333333402,-41.504991136444595
CVS,2017-10-06,74.800600,78.252800,False,74.426200,78.175000,reg,11795591,75.82653333333333,78.96167,1.1048363333333402,-189.17653665545325
CVS,2017-10-09,72.252800,75.092300,False,71.727600,74.927000,reg,13362361,73.02423333333333,78.69814,1.1048363333333402,-342.3678539817893
CVS,2017-10-10,72.651500,73.351600,False,71.280300,72.243000,reg,10715865,72.4278,78.32277500000001,1.1048363333333402,-355.7072857548413
CVS,2017-10-11,71.863800,72.904300,False,71.747100,72.359700,reg,7087402,72.17173333333334,77.87642500000001,1.1048363333333402,-344.2254443518869
CVS,2017-10-12,71.747100,72.515300,False,71.484500,71.863800,reg,6176368,71.91563333333333,77.44563000000001,1.1048363333333402,-333.68421486661475
CVS,2017-10-13,70.599600,72.155500,False,70.521800,72.068000,reg,6716343,71.09230000000001,76.93169,1.1048363333333402,-352.3532444775355
CVS,2017-10-16,70.444000,71.377600,False,70.132800,70.502400,reg,5916945,70.65146666666666,76.403165,1.1048363333333402,-347.061862455845
CVS,2017-10-17,70.628800,70.896200,False,70.132800,70.414800,reg,6068740,70.5526,75.89408999999999,1.1048363333333402,-322.30957888483397
CVS,2017-10-18,72.058300,72.505600,False,70.288400,70.871900,reg,10479567,71.61743333333332,75.573185,1.1048363333333402,-238.6930713820145
CVS,2017-10-19,72.573700,73.128000,False,72.155500,72.213900,reg,8056688,72.61906666666668,75.33347999999998,1.1048363333333402,-163.78976996793676
CVS,2017-10-20,74.382400,74.392100,False,72.466700,72.914000,reg,9144918,73.74706666666667,75.18080499999999,1.1048363333333402,-86.51286409741623
CVS,2017-10-23,74.304100,74.862100,False,74.186700,74.421600,reg,7487069,74.45096666666667,74.93960999999999,1.1048363333333402,-29.48511126886736
CVS,2017-10-24,74.402000,74.813100,False,73.804900,74.558600,reg,5940175,74.34,74.68969999999999,1.1048363333333402,-21.101164606883387
CVS,2017-10-25,73.932200,74.999100,False,72.904400,74.862100,reg,6648677,73.94523333333332,74.42504999999998,1.1048363333333402,-28.95250347286199
CVS,2017-10-26,71.759100,74.852300,False,69.282600,74.186700,reg,21982480,71.96466666666667,74.06195499999998,1.1048363333333402,-126.5519769795947
CVS,2017-10-27,67.530500,73.403600,False,66.718100,72.326800,reg,32616296,69.2174,73.48451499999999,1.1048363333333402,-257.48097229483847
CVS,2017-10-30,67.001900,68.186300,False,66.571200,67.315200,reg,10400920,67.25313333333334,72.90738499999999,1.1048363333333402,-341.1818562970635
CVS,2017-10-31,67.080200,67.876000,False,66.913800,66.913800,reg,7199289,67.29,72.327365,1.1048363333333402,-303.9584445237568
CVS,2017-11-01,67.540300,68.054200,False,66.747400,67.364100,reg,8433778,67.4473,71.81118999999998,1.1048363333333402,-263.32044957488165
CVS,2017-11-02,67.912300,68.440800,False,67.648000,67.677300,reg,5378527,68.00036666666666,71.27325999999998,1.1048363333333402,-197.4888789460698
CVS,2017-11-03,67.785000,68.196100,False,66.678900,67.833900,reg,9901157,67.55333333333333,70.92247999999998,1.1048363333333402,-203.2968784617348
CVS,2017-11-06,65.386800,68.342900,False,65.044200,66.786600,reg,14183103,66.25796666666666,70.57917999999998,1.1048363333333402,-260.74530697206086
CVS,2017-11-07,67.491400,67.951400,False,65.269400,65.445600,reg,12134781,66.90406666666667,70.321175,1.1048363333333402,-206.19092199377405
CVS,2017-11-08,67.530500,67.628400,False,66.953100,67.452200,reg,8661690,67.37066666666668,70.10450999999999,1.1048363333333402,-164.9621909811254
CVS,2017-11-09,67.559900,67.961200,False,67.011700,67.736100,reg,6992131,67.51093333333334,69.89514999999999,1.1048363333333402,-143.86545136348286
CVS,2017-11-10,69.488200,69.997200,False,67.726300,68.157000,reg,10299977,69.07056666666666,69.83957999999998,1.1048363333333402,-46.40285081943145
CVS,2017-11-13,69.967800,72.434500,False,68.803000,69.674200,reg,9874932,70.40176666666666,69.81576999999999,1.1048363333333402,35.35948562315987
CVS,2017-11-14,68.949800,69.928700,False,68.431000,69.644800,reg,5964036,69.10316666666667,69.73182,1.1048363333333402,-37.93342141073254
CVS,2017-11-15,68.323400,68.891100,False,67.931800,68.519100,reg,5333947,68.3821,69.545075,1.1048363333333402,-70.17479813752178
CVS,2017-11-16,68.773600,69.546900,False,68.078700,68.617000,reg,6447629,68.79973333333332,69.35507,1.1048363333333402,-33.509437848361415
CVS,2017-11-17,69.184800,69.527400,False,68.519100,68.763900,reg,5382233,69.07709999999999,69.09519,1.1048363333333402,-1.0915643915895192
CVS,2017-11-20,68.891100,69.498000,False,68.294000,69.086900,reg,8490306,68.89436666666666,68.82454,1.1048363333333402,4.2133943016390365
CVS,2017-11-21,69.987400,70.114700,False,69.037900,69.184800,reg,9609122,69.71333333333332,68.60381,1.1048363333333402,66.94948381997584
CVS,2017-11-22,69.967800,70.545300,False,69.693800,69.879700,reg,5315476,70.06896666666667,68.40558999999999,1.1048363333333402,100.36941620412969
CVS,2017-11-24,69.057500,70.408300,False,69.008600,70.369200,reg,2992871,69.49146666666667,68.27051,1.1048363333333402,73.67345610868207
CVS,2017-11-27,68.910700,69.439300,False,68.724700,69.126000,reg,6146313,69.0249,68.33952,1.1048363333333402,41.35635172509744
CVS,2017-11-28,71.162000,71.171800,False,68.519100,69.145600,reg,8348517,70.28429999999999,68.547525,1.1048363333333402,104.79832759542869
CVS,2017-11-29,71.847200,73.100100,False,71.211000,71.220800,reg,7329900,72.05276666666667,68.78587499999999,1.1048363333333402,197.12673380380988
CVS,2017-11-30,74.979500,76.144300,False,71.994000,72.131100,reg,20281343,74.3726,69.15783499999998,1.1048363333333402,314.66289577128896
CVS,2017-12-01,73.530800,74.969700,False,72.072300,74.020200,reg,10586532,73.52426666666666,69.43875999999997,1.1048363333333402,246.5225870055965
CVS,2017-12-04,70.173400,71.729800,False,68.705100,71.406700,reg,40464605,70.20276666666666,69.55817999999996,1.1048363333333402,38.89485089144083
CVS,2017-12-05,69.507800,70.623700,False,69.008600,69.507800,reg,15423992,69.71336666666667,69.76422999999997,1.1048363333333402,-3.069132310897108
CVS,2017-12-06,69.869900,70.055900,False,68.714900,69.126000,reg,12371712,69.5469,69.88315499999996,1.1048363333333402,-20.289883056583264
CVS,2017-12-07,69.586100,69.821000,False,68.049300,69.625200,reg,12366237,69.15213333333334,69.98593499999996,1.1048363333333402,-50.31222824657355
CVS,2017-12-08,71.543800,72.238800,False,69.390400,71.543800,reg,12510534,71.05766666666666,70.18512999999996,1.1048363333333402,52.64952767765596
CVS,2017-12-11,71.534000,72.043000,False,71.025000,71.367600,reg,6687005,71.534,70.28741999999997,1.1048363333333402,75.21958757692494
CVS,2017-12-12,71.308800,71.641700,False,70.643200,71.308800,reg,8233130,71.1979,70.35446999999996,1.1048363333333402,50.893209220432674
CVS,2017-12-13,70.104900,71.357800,False,69.498000,71.230500,reg,9940380,70.32023333333332,70.41222499999996,1.1048363333333402,-5.550847299955635
CVS,2017-12-14,69.302200,70.364300,False,68.979100,70.114700,reg,8214278,69.54853333333334,70.46116499999997,1.1048363333333402,-55.06889054557531
CVS,2017-12-15,71.534000,72.121300,False,69.263100,69.821000,reg,14334083,70.9728,70.59918499999998,1.1048363333333402,22.544213939381493
CVS,2017-12-18,70.153800,71.837400,False,70.134200,71.622100,reg,12709291,70.70846666666667,70.64763499999998,1.1048363333333402,3.6706291439658925
CVS,2017-12-19,70.780300,71.431900,False,70.085300,70.134200,reg,11825638,70.76583333333333,70.74209499999998,1.1048363333333402,1.4323891311416113
CVS,2017-12-20,72.003800,72.610700,False,71.073900,71.113100,reg,10571601,71.89613333333334,70.84291499999998,1.1048363333333402,63.55199719375362
CVS,2017-12-21,73.061000,74.265000,False,71.837400,71.954900,reg,10518549,73.05446666666667,70.99757499999997,1.1048363333333402,124.1144113150206
CVS,2017-12-22,71.857000,73.134400,False,71.749300,73.031600,reg,5282394,72.2469,71.13754999999996,1.1048363333333402,66.93902475449775
CVS,2017-12-26,72.121300,72.434500,False,71.220800,71.945100,reg,4801740,71.92553333333333,71.29807999999997,1.1048363333333402,37.86101249586951
CVS,2017-12-27,71.220800,72.336600,False,71.113100,72.248500,reg,5248597,71.55683333333333,71.30101999999997,1.1048363333333402,15.435971562205005
CVS,2017-12-28,71.504600,71.680800,False,70.936900,71.328400,reg,4196626,71.3741,71.28388999999997,1.1048363333333402,5.4433401749717305
CVS,2017-12-29,70.966300,71.553600,False,70.907500,71.416500,reg,4757487,71.14246666666666,71.08322999999999,1.1048363333333402,3.574385627957404
CVS,2018-01-02,71.964700,72.463900,False,71.328400,71.514400,reg,5878294,71.919,71.00492499999999,1.1048363333333402,55.1559823792909
CVS,2018-01-03,71.651400,72.336600,False,71.514400,72.170200,reg,6139515,71.83413333333333,71.07882499999998,1.1048363333333402,45.575880670913335
CVS,2018-01-04,73.540600,75.048000,False,73.100100,73.599300,reg,13715528,73.89623333333333,71.28046499999998,1.1048363333333402,157.83745546223187
CVS,2018-01-05,76.790400,76.896700,False,74.529200,74.695700,reg,15338063,76.07209999999999,71.62648999999999,1.1048363333333402,268.2514966771835
CVS,2018-01-08,76.124800,77.113400,False,75.517900,76.663100,reg,9589234,76.25203333333333,71.953425,1.1048363333333402,259.38130403829393
CVS,2018-01-09,76.046500,76.672900,False,75.801700,76.330300,reg,7778358,76.1737,72.17855999999999,1.1048363333333402,241.06979344451813
CVS,2018-01-10,75.801700,75.987700,False,74.979500,75.527700,reg,8772233,75.58963333333334,72.39194499999999,1.1048363333333402,192.95095191072502
CVS,2018-01-11,77.348300,77.387500,False,76.036700,76.359700,reg,7158159,76.92416666666666,72.69391999999999,1.1048363333333402,255.25630895355224
CVS,2018-01-12,77.113400,77.994400,False,76.849100,77.250400,reg,7098202,77.31896666666667,73.04434499999999,1.1048363333333402,257.9339302844946
